Holeid,depth,dip,azimuth,Wolfpass GM
synth_001,0.0,52.075185,172.646562,Colluvium
synth_002,0.0,48.493099,225.47002,Recent
synth_003,0.0,64.94365,216.239782,Recent
synth_004,0.0,76.923558,293.598184,Colluvium
synth_005,0.0,53.281276,165.27637,Colluvium
synth_006,0.0,66.375381,132.989445,Recent
synth_007,0.0,79.647714,97.620315,Recent
synth_008,0.0,68.119751,250.542394,Colluvium
synth_009,0.0,61.525144,256.661819,Colluvium
synth_010,0.0,79.28049,255.778429,Recent
synth_008,58.4,68.318791,249.809428,Colluvium
synth_004,65.3,77.119439,294.157321,Colluvium
synth_002,54.6,48.572647,224.068748,Recent
synth_003,71.8,64.656923,217.536301,Recent
synth_010,47.3,79.248771,254.67784,Recent
synth_001,64.1,51.859068,173.090845,Colluvium
synth_006,66.0,66.812027,133.902418,Recent
synth_005,41.0,53.609692,166.292136,Colluvium
synth_007,84.8,79.548446,98.022072,Recent
synth_009,93.0,61.19942,256.90977,Colluvium
synth_008,116.7,68.517831,249.076463,Colluvium
synth_005,81.9,53.938109,167.307903,Volcaniclastic
synth_010,94.6,79.217052,253.577251,Weathered Andesite
synth_004,130.7,77.31532,294.716459,Saprolite
synth_006,131.9,67.248673,134.81539,Weathered Andesite
synth_001,128.2,51.642952,173.535128,Volcaniclastic
synth_003,143.7,64.370195,218.832821,Saprolite
synth_002,109.3,48.652194,222.667475,Weathered Andesite
synth_007,169.6,79.449178,98.423828,Saprolite
synth_009,185.9,60.873696,257.157722,Volcaniclastic
synth_008,175.1,68.716871,248.343497,Saprolite
synth_004,196.0,77.209151,295.62406,Saprolite
synth_001,192.2,51.336777,174.137959,Volcaniclastic
synth_010,141.9,79.539277,253.900419,Weathered Andesite
synth_003,215.5,64.254943,218.57138,Saprolite
synth_002,163.9,48.725837,223.837906,Weathered Andesite
synth_005,122.9,53.776229,166.658975,Volcaniclastic
synth_006,197.9,67.141199,133.761014,Weathered Andesite
synth_007,254.4,79.378832,98.818985,Saprolite
synth_008,262.6,68.378815,248.765035,Saprolite
synth_009,278.9,60.850373,257.073926,Volcaniclastic
synth_005,163.8,53.614349,166.010048,Dacite
synth_001,256.3,51.030603,174.740791,Dacite
synth_010,189.2,79.861503,254.223587,Andesite
synth_004,261.4,77.102982,296.531662,Andesite
synth_002,218.5,48.799481,225.008337,Andesite
synth_003,287.3,64.139692,218.309939,Dacite
synth_006,263.8,67.033724,132.706638,Andesite
synth_010,236.5,79.357499,253.967642,Andesite
synth_002,273.1,48.580286,225.105277,Andesite
synth_001,320.4,51.054963,174.849834,Dacite
synth_007,339.2,79.308485,99.214142,Dacite
synth_008,350.1,68.040759,249.186573,Andesite
synth_003,359.1,64.099013,218.638367,Dacite
synth_009,371.8,60.82705,256.99013,Dacite
synth_004,326.8,77.349033,296.823365,Andesite
synth_005,204.8,53.338335,166.246288,Dacite
synth_006,329.8,67.073806,132.943339,Andesite
synth_009,433.8,60.601877,256.747686,Dacite
synth_008,408.5,67.977509,248.966182,Andesite
synth_007,395.8,79.257266,99.167437,Dacite
synth_005,245.7,53.062322,166.482528,Porphyry
synth_001,384.5,51.079323,174.958877,Porphyry
synth_003,431.0,64.058333,218.966794,Monzonite
synth_002,327.8,48.361092,225.202218,Diorite
synth_004,392.2,77.595085,297.115067,Diorite
synth_010,283.9,78.853495,253.711697,Diorite
synth_006,395.7,67.113888,133.180041,Diorite
synth_009,495.7,60.376704,256.505243,Dacite
synth_008,466.8,67.914258,248.745791,Andesite
synth_007,452.3,79.206048,99.120733,Dacite
synth_005,286.6,53.646794,166.003955,Porphyry
synth_001,448.6,50.926754,174.786613,Porphyry
synth_004,457.5,77.415714,296.785012,Diorite
synth_002,382.4,48.638486,225.615399,Diorite
synth_003,502.8,63.774766,218.72533,Monzonite
synth_006,461.6,66.694225,134.227441,Diorite
synth_010,331.2,79.086664,254.025766,Diorite
synth_009,557.7,60.151531,256.262799,Porphyry
synth_008,525.2,67.851008,248.5254,Diorite
synth_007,508.9,79.154829,99.074028,Monzonite
synth_005,327.6,54.231266,165.525381,Quartz Vein
synth_002,437.0,48.915881,226.028581,Magnetite Skarn
synth_003,574.6,63.491198,218.483866,Quartz Vein
synth_001,512.7,50.774184,174.61435,Quartz Vein
