Holeid,depth,dip,azimuth,Wolfpass GM
synth_001,0.0,52.075185,172.646562,Colluvium
synth_002,0.0,48.493099,225.47002,Recent
synth_003,0.0,64.94365,216.239782,Recent
synth_004,0.0,76.923558,293.598184,Colluvium
synth_005,0.0,53.281276,165.27637,Colluvium
synth_006,0.0,66.375381,132.989445,Recent
synth_007,0.0,79.647714,97.620315,Recent
synth_008,0.0,68.119751,250.542394,Colluvium
synth_009,0.0,61.525144,256.661819,Colluvium
synth_010,0.0,79.28049,255.778429,Recent
synth_008,58.4,68.318791,249.809428,Colluvium
synth_004,65.3,77.119439,294.157321,Colluvium
synth_002,54.6,48.572647,224.068748,Recent
synth_003,71.8,64.656923,217.536301,Recent
synth_010,47.3,79.248771,254.67784,Recent
synth_001,64.1,51.859068,173.090845,Colluvium
synth_006,66.0,66.812027,133.902418,Recent
synth_005,41.0,53.609692,166.292136,Colluvium
synth_007,84.8,79.548446,98.022072,Recent
synth_009,93.0,61.19942,256.90977,Colluvium
synth_008,116.7,68.517831,249.076463,Colluvium
synth_005,81.9,53.938109,167.307903,Volcaniclastic
