pid,X,Y,Z,Type,Comment,Digitised_by
1,1894.389234,1410.648714,335.6109385,Path,,GO
1,1916.434587,1406.116025,329.7349607,Path,,GO
1,1938.483021,1401.582703,323.8441676,Path,,GO
1,1960.513519,1397.053068,317.8721006,Path,,GO
1,1982.505068,1392.531441,311.752301,Path,,GO
1,2004.436652,1388.022144,305.4183102,Path,,GO
1,2026.287257,1383.529495,298.8036694,Path,,GO
1,2048.035869,1379.057818,291.8419202,Path,,GO
1,2069.661472,1374.611432,284.4666037,Path,,GO
1,2102.41941,1367.870055,272.6239309,Path,,GO
1,2135.13049,1361.129845,260.4427512,Path,,GO
1,2167.87083,1354.380746,248.2256438,Path,,GO
1,2200.716553,1347.612704,236.2751882,Path,,GO
1,2233.743777,1340.815663,224.893964,Path,,GO
1,2267.028622,1333.979568,214.3845504,Path,,GO
1,2300.647209,1327.094365,205.049527,Path,,GO
1,2334.675658,1320.149997,197.1914731,Path,,GO
1,2365.736784,1313.362694,191.0072804,Path,,GO
1,2397.138367,1306.461354,185.7066061,Path,,GO
1,2428.972676,1300.743877,182.1622262,Path,,GO
1,2461.331983,1297.508162,181.2469163,Path,,GO
1,2463.076615,1297.359802,181.297948,Path,,GO
1,2465.164869,1297.084227,181.3823057,Path,,GO
1,2470.177369,1296.274814,181.6333774,Path,,GO
1,2482.182199,1294.486604,182.3415927,Path,,GO
1,2494.228445,1294.117628,183.0896125,Path,,GO
1,2499.292717,1295.082257,183.3904398,Path,,GO
1,2503.198083,1297.14198,183.595487,Path,,GO
1,2505.103731,1299.339025,183.7086391,Path,,GO
1,2506.536106,1302.150811,183.8448001,Path,,GO
1,2508.336129,1308.874885,184.1521506,Path,,GO
1,2509.308343,1315.826756,184.4495428,Path,,GO
1,2510.16294,1321.518979,184.6689809,Path,,GO
1,2513.300497,1343.784781,185.2552016,Path,,GO
1,2515.652787,1369.139848,186.2145767,Path,,GO
1,2519.806699,1393.701475,188.3620367,Path,,GO
1,2523.367666,1404.471404,190.1359645,Path,,GO
1,2528.349122,1413.586957,192.5125125,Path,,GO
1,2544.154096,1436.356691,200.4617144,Path,,GO
1,2559.334429,1459.260761,209.0129853,Path,,GO
1,2574.114889,1482.25996,217.9360419,Path,,GO
1,2588.720244,1505.315084,227.0006007,Path,,GO
1,2603.375263,1528.386928,235.9763784,Path,,GO
1,2618.304712,1551.436284,244.6330915,Path,,GO
1,2633.733362,1574.423949,252.7404568,Path,,GO
1,2649.885978,1597.310717,260.0681908,Path,,GO
1,2664.978044,1617.270706,266.2492324,Path,,GO
1,2680.590905,1636.798361,272.5584046,Path,,GO
1,2696.409587,1656.146465,278.9169209,Path,,GO
1,2712.119114,1675.567798,285.2459948,Path,,GO
1,2726.210731,1690.618374,290.7456756,Path,,GO
1,2737.978244,1707.388677,296.7288926,Path,,GO
1,2744.599708,1724.366933,302.4138429,Path,,GO
1,2750.905801,1741.3164,308.7346258,Path,,GO
1,2756.928052,1758.241433,315.612785,Path,,GO
1,2762.697992,1775.146391,322.9698641,Path,,GO
1,2768.247149,1792.03563,330.7274068,Path,,GO
1,2773.607054,1808.913509,338.8069567,Path,,GO
1,2778.809236,1825.784384,347.1300574,Path,,GO
1,2783.885224,1842.652613,355.6182526,Path,,GO
1,2788.866549,1859.522553,364.1930859,Path,,GO
1,2793.784741,1876.398562,372.7761011,Path,,GO
1,2798.671327,1893.284997,381.2888416,Path,,GO
1,2803.55784,1910.186214,389.6528513,Path,,GO
1,2808.475807,1927.106573,397.7896737,Path,,GO
1,2813.456758,1944.050429,405.6208525,Path,,GO
1,2818.532224,1961.02214,413.0679312,Path,,GO
1,2823.733734,1978.026064,420.0524537,Path,,GO
1,2830.005368,1998.183222,427.9731665,Path,,GO
1,2836.353419,2018.334039,435.8473028,Path,,GO
1,2842.81024,2038.443904,443.7319853,Path,,GO
1,2849.408186,2058.478205,451.6843369,Path,,GO
1,2856.179611,2078.402332,459.7614806,Path,,GO
1,2863.156867,2098.181674,468.0205392,Path,,GO
1,2870.372309,2117.781621,476.5186356,Path,,GO
1,2877.858292,2137.167562,485.3128927,Path,,GO
1,2889.358003,2165.974888,498.8351494,Path,,GO
1,2901.287759,2191.611799,511.810643,Path,,GO
1,2916.185066,2214.77276,525.582686,Path,,GO
1,2936.587433,2236.152238,541.4945911,Path,,GO
2,343.9904287,543.8700142,245.8520437,Path,,GO
2,358.1707299,561.7956089,252.2147085,Path,,GO
2,372.3085259,579.7198666,258.7064764,Path,,GO
2,386.4134981,597.6236297,265.3437615,Path,,GO
2,400.495328,615.4877411,272.1429777,Path,,GO
2,414.5636972,633.2930433,279.1205392,Path,,GO
2,428.6282872,651.020379,286.2928598,Path,,GO
2,442.6987794,668.6505909,293.6763537,Path,,GO
2,456.7848554,686.1645217,301.2874348,Path,,GO
2,470.9408438,703.1685524,309.1739382,Path,,GO
2,485.1784062,720.03661,317.3602981,Path,,GO
2,498.9406874,737.2788161,325.5522538,Path,,GO
2,511.670832,755.4052922,333.455545,Path,,GO
2,524.6540851,776.9943224,342.0001636,Path,,GO
2,536.6794477,799.3945927,350.4097862,Path,,GO
2,548.0005964,822.36772,358.7316741,Path,,GO
2,558.8712081,845.6753214,367.0130882,Path,,GO
2,569.5449595,869.0790141,375.3012898,Path,,GO
2,580.2755272,892.3404149,383.64354,Path,,GO
2,591.316588,915.221141,392.0870998,Path,,GO
2,602.9218187,937.4828094,400.6792306,Path,,GO
2,613.577066,955.8966826,408.2192133,Path,,GO
2,624.941941,973.7443964,415.8680343,Path,,GO
2,636.8960501,991.1719739,423.4917441,Path,,GO
2,649.3189996,1008.325438,430.9563936,Path,,GO
2,662.0903962,1025.350812,438.1280333,Path,,GO
2,675.0898462,1042.394119,444.8727142,Path,,GO
2,688.1969561,1059.601382,451.0564868,Path,,GO
2,701.2913322,1077.118624,456.5454019,Path,,GO
2,710.9554752,1090.281178,460.2780343,Path,,GO
2,720.6059849,1103.491514,463.9262058,Path,,GO
2,730.2464823,1116.742244,467.4999186,Path,,GO
2,739.880588,1130.025978,471.0091748,Path,,GO
2,749.5119229,1143.33533,474.4639766,Path,,GO
2,759.1441079,1156.66291,477.8743261,Path,,GO
2,768.7807636,1170.00133,481.2502255,Path,,GO
2,778.425511,1183.343203,484.6016769,Path,,GO
2,788.0819709,1196.681139,487.9386824,Path,,GO
2,797.7537639,1210.007752,491.2712442,Path,,GO
2,807.4445111,1223.315652,494.6093644,Path,,GO
2,817.1578331,1236.597451,497.9630452,Path,,GO
2,826.8973507,1249.845762,501.3422888,Path,,GO
2,836.6666849,1263.053195,504.7570972,Path,,GO
2,846.4694563,1276.212363,508.2174726,Path,,GO
2,856.3092858,1289.315878,511.7334171,Path,,GO
2,871.9667488,1310.400164,516.5355067,Path,,GO
2,888.6177282,1332.377629,520.7326834,Path,,GO
2,906.1428135,1353.483558,525.3309302,Path,,GO
2,924.4225939,1371.953237,531.3362301,Path,,GO
2,939.3990165,1383.050513,537.5040726,Path,,GO
2,955.725934,1392.092952,544.8154749,Path,,GO
2,972.5242971,1400.094478,552.3828634,Path,,GO
2,988.9150567,1408.069016,559.3186644,Path,,GO
3,1195.290938,1500.938162,519.2553164,Path,,GO
3,1208.787277,1499.09296,515.7853679,Path,,GO
3,1222.253959,1497.251812,512.1160119,Path,,GO
3,1235.710385,1495.412066,508.3553119,Path,,GO
3,1249.175954,1493.57107,504.6113315,Path,,GO
3,1262.670066,1491.726172,500.9921343,Path,,GO
3,1276.212121,1489.874719,497.6057836,Path,,GO
3,1289.821519,1488.014059,494.5603432,Path,,GO
3,1303.51766,1486.14154,491.9638764,Path,,GO
3,1314.985789,1484.573632,490.4109951,Path,,GO
3,1326.486315,1483.001294,489.1251531,Path,,GO
3,1339.676116,1481.198001,487.506353,Path,,GO
3,1352.864596,1479.394889,485.8545798,Path,,GO
3,1366.044044,1477.593011,484.131739,Path,,GO
3,1379.20675,1475.793422,482.2997364,Path,,GO
3,1389.755494,1474.351211,480.6887076,Path,,GO
3,1400.275039,1472.912992,478.9146648,Path,,GO
3,1410.766763,1471.478576,476.989531,Path,,GO
3,1421.232045,1470.047776,474.9252296,Path,,GO
3,1431.672263,1468.620403,472.7336837,Path,,GO
3,1442.088795,1467.196268,470.4268166,Path,,GO
3,1452.48302,1465.775182,468.0165516,Path,,GO
3,1462.856317,1464.356958,465.5148119,Path,,GO
3,1472.309609,1463.064516,463.1778735,Path,,GO
3,1481.756373,1461.772966,460.8088205,Path,,GO
3,1491.196257,1460.482357,458.4075051,Path,,GO
