X,Y,Z,CU_pct,AU_gpt,DENSITY,Hole ID
445198.861763,494110.588391,3052.607679,0.79,1.75,,WP001
445200.147289,494110.577172,3051.075590,0.83,1.73,,WP001
445201.432816,494110.565953,3049.543501,0.84,6,,WP001
445202.718342,494110.554735,3048.011412,0.83,2.56,2.32,WP001
445204.003868,494110.543516,3046.479323,0.97,1.53,2.98,WP001
445205.289394,494110.532298,3044.947234,1.48,2.25,2.52,WP001
445206.574921,494110.521079,3043.415145,1.03,2.24,2.61,WP001
445207.860447,494110.509860,3041.883057,0.38,0.69,2.67,WP001
445209.145973,494110.498642,3040.350968,0.94,1.76,2.74,WP001
445210.431500,494110.487423,3038.818879,1.66,1.48,2.96,WP001
445211.717026,494110.476205,3037.286790,1.12,2.11,3.07,WP001
445213.002552,494110.464986,3035.754701,0.75,2.1,3.05,WP001
445214.288078,494110.453767,3034.222612,1.07,1.55,3.01,WP001
445215.573605,494110.442549,3032.690523,0.92,2.29,2.99,WP001
445216.859131,494110.431330,3031.158434,1.81,1.52,2.94,WP001
445218.144657,494110.420111,3029.626345,3.3,1.64,2.98,WP001
445219.430183,494110.408893,3028.094257,0.91,3.47,3.11,WP001
445220.715710,494110.397674,3026.562168,0.5,1.18,3.06,WP001
445222.001236,494110.386456,3025.030079,0.33,0.99,3.07,WP001
445223.286762,494110.375237,3023.497990,0.14,0.65,3.04,WP001
445224.572289,494110.364018,3021.965901,0.14,0.46,3.14,WP001
445225.857815,494110.352800,3020.433812,0.46,1.01,3.13,WP001
445227.143341,494110.341581,3018.901723,0.45,1.03,3.04,WP001
445228.428867,494110.330362,3017.369634,0.56,0.62,3.02,WP001
445229.714394,494110.319144,3015.837546,0.28,0.85,3.09,WP001
445230.999920,494110.307925,3014.305457,0.37,0.55,3.05,WP001
445232.285446,494110.296707,3012.773368,0.15,1.57,3.09,WP001
445233.570972,494110.285488,3011.241279,0.06,0.96,3.13,WP001
445234.856499,494110.274269,3009.709190,0.08,0.99,3.02,WP001
445236.142025,494110.263051,3008.177101,0.11,1.25,3.02,WP001
445237.427551,494110.251832,3006.645012,0.18,0.8,3.08,WP001
445238.713077,494110.240614,3005.112923,0.06,0.81,2.98,WP001
445239.998604,494110.229395,3003.580834,0.06,0.56,3.11,WP001
445241.284130,494110.218176,3002.048746,0.12,0.69,3.04,WP001
445242.569656,494110.206958,3000.516657,0.23,3.59,3.12,WP001
445243.855183,494110.195739,2998.984568,0.23,1.03,3.13,WP001
445245.140709,494110.184520,2997.452479,0.44,1.1,3.23,WP001
445246.426235,494110.173302,2995.920390,1.14,1.49,3.12,WP001
445247.711761,494110.162083,2994.388301,0.73,0.7,3.08,WP001
445248.997288,494110.150865,2992.856212,0.12,0.72,3.12,WP001
445250.282814,494110.139646,2991.324123,0.96,1.07,3.05,WP001
445251.568340,494110.128427,2989.792034,1.3,1.84,3.15,WP001
445252.853866,494110.117209,2988.259946,1.58,3.28,3,WP001
445254.139393,494110.105990,2986.727857,1.47,1.63,3.11,WP001
445255.424919,494110.094772,2985.195768,1.38,1.73,3.06,WP001
445256.710445,494110.083553,2983.663679,0.19,0.76,2.97,WP001
445257.995971,494110.072334,2982.131590,0.11,0.45,3.08,WP001
445259.281498,494110.061116,2980.599501,1.47,1.32,3.28,WP001
445260.567024,494110.049897,2979.067412,1.42,1.38,3.06,WP001
445261.852550,494110.038678,2977.535323,1.58,4.35,3.06,WP001
445263.138077,494110.027460,2976.003234,0.66,1.9,3,WP001
445264.423603,494110.016241,2974.471146,1.82,1.08,3.11,WP001
445265.709129,494110.005023,2972.939057,1.99,1.37,3.13,WP001
445266.994655,494109.993804,2971.406968,2.03,1.51,3.19,WP001
445268.280182,494109.982585,2969.874879,0.64,0.99,3.11,WP001
445269.565708,494109.971367,2968.342790,2.38,1.36,3.05,WP001
445270.851234,494109.960148,2966.810701,1.35,2,3.02,WP001
445272.136760,494109.948929,2965.278612,0.68,1.39,3.08,WP001
445273.422287,494109.937711,2963.746523,1.51,1.03,3.07,WP001
445274.707813,494109.926492,2962.214434,1.12,0.86,3.08,WP001
445275.993339,494109.915274,2960.682346,1.84,1.65,3.08,WP001
445277.278866,494109.904055,2959.150257,1.27,1.01,3.08,WP001
445278.564392,494109.892836,2957.618168,1.67,1.05,3.05,WP001
445279.849918,494109.881618,2956.086079,1.94,1.14,3.04,WP001
445281.135444,494109.870399,2954.553990,1.7,1.18,3.06,WP001
445282.420971,494109.859181,2953.021901,0.85,1.33,3.09,WP001
445283.706497,494109.847962,2951.489812,0.8,0.79,3.14,WP001
445284.992023,494109.836743,2949.957723,1.48,0.45,3.07,WP001
445286.277549,494109.825525,2948.425635,2.21,0.64,3.09,WP001
445287.563076,494109.814306,2946.893546,1.03,0.27,3.14,WP001
445288.848602,494109.803087,2945.361457,0.34,0.08,2.99,WP001
445290.134128,494109.791869,2943.829368,0.14,0.03,3.01,WP001
445291.419654,494109.780650,2942.297279,0.14,0.03,2.92,WP001
445292.705181,494109.769432,2940.765190,0.22,0.03,2.93,WP001
445293.990707,494109.758213,2939.233101,0.22,0.05,2.93,WP001
445295.276233,494109.746994,2937.701012,0.17,0.05,2.9,WP001
445296.561760,494109.735776,2936.168923,0.21,0.04,2.92,WP001
445297.847286,494109.724557,2934.636835,0.13,0.06,2.94,WP001
445299.132812,494109.713339,2933.104746,0.18,0.05,3,WP001
445300.418338,494109.702120,2931.572657,0.12,0.09,3.01,WP001
445301.703865,494109.690901,2930.040568,0.17,0.06,3,WP001
445302.989391,494109.679683,2928.508479,0.25,0.05,3.02,WP001
445304.274917,494109.668464,2926.976390,0.26,0.06,2.96,WP001
445305.560443,494109.657245,2925.444301,0.3,0.08,2.96,WP001
445306.845970,494109.646027,2923.912212,0.42,0.45,3.05,WP001
445308.131496,494109.634808,2922.380123,0.45,0.34,2.99,WP001
445309.417022,494109.623590,2920.848035,0.47,0.1,3.04,WP001
445310.702549,494109.612371,2919.315946,0.41,0.17,3.05,WP001
445311.988075,494109.601152,2917.783857,0.54,0.18,2.97,WP001
445313.273601,494109.589934,2916.251768,0.57,0.13,2.97,WP001
445314.559127,494109.578715,2914.719679,1.05,0.23,3.01,WP001
445315.844654,494109.567496,2913.187590,0.43,0.54,3.07,WP001
445317.130180,494109.556278,2911.655501,0.65,0.51,3,WP001
445318.415706,494109.545059,2910.123412,0.4,1.42,3.02,WP001
445319.701232,494109.533841,2908.591323,0.55,0.78,3.04,WP001
445320.986759,494109.522622,2907.059235,0.38,0.61,3.05,WP001
445322.272285,494109.511403,2905.527146,0.45,0.64,3.04,WP001
445323.557811,494109.500185,2903.995057,0.41,0.34,3.01,WP001
445324.859408,494109.488826,2902.443816,0.71,0.09,2.96,WP001
445195.918136,494109.674510,3050.931141,,,,WP002
445194.504407,494109.711530,3049.516928,0.95,1.24,3.14,WP002
445193.090678,494109.748549,3048.102714,1,1.73,3.2,WP002
445191.676949,494109.785569,3046.688501,0.95,2.35,3.15,WP002
445190.263220,494109.822589,3045.274287,1.16,1.68,3.34,WP002
445188.849491,494109.859609,3043.860074,0.66,1.89,3.23,WP002
445187.435762,494109.896629,3042.445860,0.5,1.71,3.12,WP002
445186.022033,494109.933648,3041.031646,1.06,2.54,3.17,WP002
445184.608304,494109.970668,3039.617433,0.41,3.16,3.12,WP002
445183.194575,494110.007688,3038.203219,0.47,1.28,3.14,WP002
445181.780846,494110.044708,3036.789006,0.65,1.3,3.24,WP002
445180.367117,494110.081728,3035.374792,0.54,1.42,3.12,WP002
445178.953388,494110.118747,3033.960579,0.38,2.08,3.24,WP002
445177.539659,494110.155767,3032.546365,0.88,1.5,3.15,WP002
445176.125930,494110.192787,3031.132151,0.44,0.66,3.15,WP002
445174.712201,494110.229807,3029.717938,0.56,2.5,3.16,WP002
445173.298472,494110.266827,3028.303724,0.67,2.13,3.2,WP002
445171.884743,494110.303846,3026.889511,0.54,1.03,3.19,WP002
445170.471014,494110.340866,3025.475297,0.71,1.32,3.08,WP002
445169.057286,494110.377886,3024.061084,0.45,3.71,3,WP002
445167.643557,494110.414906,3022.646870,0.45,1.05,3.07,WP002
445166.229828,494110.451926,3021.232657,0.4,0.63,3.08,WP002
445164.816099,494110.488945,3019.818443,0.68,1.26,3.19,WP002
445163.402370,494110.525965,3018.404229,0.72,3.86,3.16,WP002
445161.988641,494110.562985,3016.990016,0.46,0.97,2.43,WP002
445160.574912,494110.600005,3015.575802,0.15,0.86,3.19,WP002
445159.161183,494110.637025,3014.161589,0.21,0.9,3.16,WP002
445157.747454,494110.674044,3012.747375,0.69,0.82,3.15,WP002
445156.333725,494110.711064,3011.333162,0.54,1.11,3.28,WP002
445154.919996,494110.748084,3009.918948,0.72,1.1,3.06,WP002
445153.506267,494110.785104,3008.504734,0.51,0.93,3.22,WP002
445152.092538,494110.822124,3007.090521,0.68,3.65,3.19,WP002
445150.678809,494110.859143,3005.676307,0.29,1.79,3.31,WP002
445149.265080,494110.896163,3004.262094,0.69,1.05,3.16,WP002
445147.851351,494110.933183,3002.847880,0.57,1.22,3.22,WP002
445146.437622,494110.970203,3001.433667,0.57,1.48,3.14,WP002
445145.023893,494111.007223,3000.019453,0.34,0.64,3.23,WP002
445143.610164,494111.044242,2998.605240,0.27,0.42,3.23,WP002
445142.196436,494111.081262,2997.191026,0.38,0.6,3.14,WP002
445140.782707,494111.118282,2995.776812,0.49,1.49,3.16,WP002
445139.368978,494111.155302,2994.362599,0.47,2.71,3.14,WP002
445137.955249,494111.192322,2992.948385,0.23,2.35,3.15,WP002
445136.541520,494111.229341,2991.534172,0.68,2.69,3.16,WP002
445135.127791,494111.266361,2990.119958,0.51,2.31,3.19,WP002
445133.714062,494111.303381,2988.705745,0.61,1.83,3.17,WP002
445132.300333,494111.340401,2987.291531,0.53,3.52,3.17,WP002
445130.886604,494111.377420,2985.877317,0.75,4.99,3.21,WP002
445129.472875,494111.414440,2984.463104,0.67,3.95,3.19,WP002
445128.059146,494111.451460,2983.048890,0.62,1.99,3.17,WP002
445126.645417,494111.488480,2981.634677,0.59,1.92,3.21,WP002
445125.231688,494111.525500,2980.220463,0.42,0.73,3.17,WP002
445123.817959,494111.562519,2978.806250,0.43,2.54,3.19,WP002
445122.404230,494111.599539,2977.392036,0.86,1.16,3.17,WP002
445120.990501,494111.636559,2975.977823,0.41,2.19,3.15,WP002
445119.576772,494111.673579,2974.563609,0.62,1.11,3.21,WP002
445118.163043,494111.710599,2973.149395,0.53,2.33,3.19,WP002
445116.749315,494111.747618,2971.735182,0.64,1.97,3.21,WP002
445115.335586,494111.784638,2970.320968,0.44,0.81,3.19,WP002
445113.921857,494111.821658,2968.906755,0.46,1.22,3.19,WP002
445112.508128,494111.858678,2967.492541,0.5,0.68,3.2,WP002
445111.094399,494111.895698,2966.078328,0.52,0.5,3.17,WP002
445109.680670,494111.932717,2964.664114,0.6,1.36,3.16,WP002
445108.266941,494111.969737,2963.249900,0.51,0.59,3.15,WP002
445106.853212,494112.006757,2961.835687,0.92,1.09,3.16,WP002
445105.439483,494112.043777,2960.421473,0.39,1.97,3.15,WP002
445104.025754,494112.080797,2959.007260,0.34,0.89,3.17,WP002
445102.612025,494112.117816,2957.593046,0.36,1.03,3.16,WP002
445101.198296,494112.154836,2956.178833,0.29,0.88,3.2,WP002
445099.784567,494112.191856,2954.764619,0.45,1.17,3.16,WP002
445098.370838,494112.228876,2953.350406,0.3,1.85,3.15,WP002
445096.957109,494112.265896,2951.936192,0.52,1.1,3.16,WP002
445095.543380,494112.302915,2950.521978,0.4,2.18,3.17,WP002
445094.129651,494112.339935,2949.107765,0.35,0.93,3.16,WP002
445092.715922,494112.376955,2947.693551,0.38,2.13,3.17,WP002
445091.302193,494112.413975,2946.279338,0.53,0.84,3.28,WP002
445089.888465,494112.450995,2944.865124,0.63,0.87,3.17,WP002
445088.474736,494112.488014,2943.450911,0.73,1.1,3.2,WP002
445087.061007,494112.525034,2942.036697,0.79,2.85,3.17,WP002
445085.647278,494112.562054,2940.622483,0.46,0.78,3.22,WP002
445084.233549,494112.599074,2939.208270,0.37,1.55,3.12,WP002
445082.819820,494112.636094,2937.794056,0.4,0.74,3.13,WP002
445081.406091,494112.673113,2936.379843,0.3,0.34,3.15,WP002
445079.992362,494112.710133,2934.965629,0.38,0.4,3.11,WP002
445078.578633,494112.747153,2933.551416,0.43,0.52,3.11,WP002
445077.164904,494112.784173,2932.137202,0.53,1.22,3.25,WP002
445075.751175,494112.821192,2930.722989,0.47,2.06,3.13,WP002
445074.337446,494112.858212,2929.308775,0.41,0.58,3.14,WP002
445072.923717,494112.895232,2927.894561,0.73,2.37,3.19,WP002
445071.509988,494112.932252,2926.480348,0.51,0.6,3.16,WP002
445070.096259,494112.969272,2925.066134,0.29,1.18,3.17,WP002
445068.682530,494113.006291,2923.651921,0.26,0.59,3.17,WP002
445067.268801,494113.043311,2922.237707,0.23,1.18,3.17,WP002
445065.855072,494113.080331,2920.823494,0.16,2.13,3.2,WP002
445064.441343,494113.117351,2919.409280,0.19,0.33,3.2,WP002
445063.027615,494113.154371,2917.995066,0.3,0.37,3.2,WP002
445061.613886,494113.191390,2916.580853,0.24,0.19,3.16,WP002
445060.200157,494113.228410,2915.166639,0.22,0.57,3.21,WP002
445058.786428,494113.265430,2913.752426,0.16,1.05,3.12,WP002
445057.372699,494113.302450,2912.338212,0.12,1.32,3.17,WP002
445055.958970,494113.339470,2910.923999,0.19,0.4,3.17,WP002
445054.545241,494113.376489,2909.509785,0.3,0.13,3.16,WP002
445053.131512,494113.413509,2908.095572,0.19,0.36,3.04,WP002
445051.717783,494113.450529,2906.681358,0.26,0.25,3.05,WP002
445050.304054,494113.487549,2905.267144,0.29,1,3.08,WP002
445048.890325,494113.524569,2903.852931,0.43,1.66,3.06,WP002
445047.476596,494113.561588,2902.438717,0.31,0.36,3.06,WP002
445046.062867,494113.598608,2901.024504,0.31,1.16,3.06,WP002
445044.649138,494113.635628,2899.610290,0.5,1.17,3,WP002
445043.235409,494113.672648,2898.196077,0.47,0.37,3.02,WP002
445041.821680,494113.709668,2896.781863,0.33,0.55,3.04,WP002
445040.372606,494113.747613,2895.332292,0.14,0.14,3.04,WP002
445259.843907,493860.737830,3008.529635,0.34,0.38,,WP003
445258.405720,493860.775490,3007.140318,0.31,0.76,,WP003
445256.967533,493860.813151,3005.751001,0.33,1.1,,WP003
445255.529347,493860.850811,3004.361685,0.59,0.57,3.02,WP003
445254.091160,493860.888471,3002.972368,0.1,2.95,2.51,WP003
445252.652974,493860.926131,3001.583051,0.1,0.74,2.42,WP003
445251.214787,493860.963792,3000.193734,0.19,0.59,2.45,WP003
445249.776600,493861.001452,2998.804418,0.35,0.95,2.31,WP003
445248.338414,493861.039112,2997.415101,0.39,0.55,2.23,WP003
445246.900227,493861.076772,2996.025784,0.35,0.37,2.21,WP003
445245.462041,493861.114433,2994.636467,0.11,0.5,3.05,WP003
445244.023854,493861.152093,2993.247151,0.19,0.44,2.79,WP003
